House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
205,Smith Estate,Tom,Morris,3,Son,NA,Male,Child,None,NA
206,Smith Estate,Stuart,Porter,39,Head,Married,Male,Mechanical engineer,None,Methodist
206,Smith Estate,Kathleen,Porter,40,Wife,Married,Female,"Surveyor, commercial/residential",None,Methodist
206,Smith Estate,Barry,Porter,1,Step-Son,NA,Male,Child,None,NA
206,Smith Estate,Sian,Coles,54,Lodger,Single,Female,Magazine features editor,None,None
206,Smith Estate,Tracy,Blake,45,Lodger,Single,Female,Patent attorney,None,None
207,Smith Estate,Kim,Jenkins,26,Head,Married,Female,Occupational therapist,None,None
207,Smith Estate,Kevin,Jenkins,34,Husband,Married,Male,IT consultant,None,None
207,Smith Estate,William,Jenkins,3,Son,NA,Male,Child,None,NA
207,Smith Estate,Elaine,Jenkins,0,Daughter,NA,Female,Child,None,NA
208,Smith Estate,Norman,Fletcher,41,Head,Single,Male,Horticultural therapist,None,Catholic
208,Smith Estate,Joan,Griffiths,37,Partner,Single,Female,Production manager,None,Catholic
209,Smith Estate,Teresa,Price,34,Head,Single,Female,Press sub,None,None
209,Smith Estate,Sean,Mellor,33,Partner,Single,Male,Aeronautical engineer,None,None
209,Smith Estate,Elaine,Price,3,Adopted Daughter,NA,Female,Child,None,NA
210,Smith Estate,Beverley,Swift,53,Head,Married,Female,Environmental education officer,None,Christian
210,Smith Estate,Matthew,Swift,54,Husband,Married,Male,Glass blower/designer,None,None
210,Smith Estate,Jodie,Swift,25,Daughter,Single,Female,"Surveyor, minerals",None,Christian
210,Smith Estate,Geoffrey,Swift,22,Son,Divorced,Male,University Student,None,Christian
211,Smith Estate,Charlotte,Walker,56,Head,Single,Female,Occupational hygienist,None,Catholic
211,Smith Estate,Julia,Doyle,50,None,Single,Female,Mechanical engineer,None,Catholic
211,Smith Estate,Patrick,Reynolds,44,None,Single,Male,Occupational psychologist,None,Christian
211,Smith Estate,Adrian,Howarth,24,None,Single,Male,"Designer, textile",None,Christian
212,Smith Estate,Louise,Nicholson,69,Head,Widowed,Female,"Retired Optician, dispensing",None,Catholic
212,Smith Estate,Jemma,Nicholson,44,Daughter,Single,Female,Further education lecturer,None,Catholic
212,Smith Estate,Sian,Nicholson,43,Daughter,Divorced,Female,Unemployed,None,None
212,Smith Estate,Howard,Nicholson,37,Son,Single,Male,"Geologist, engineering",None,None
213,Smith Estate,Adam,Fleming,40,Head,Single,Male,"Buyer, retail",None,Catholic
213,Smith Estate,Joanna,O'Sullivan,28,None,Single,Female,"Programmer, systems",None,None
213,Smith Estate,Clive,Hayes,20,None,Single,Male,University Student,None,None
214,Smith Estate,Deborah,Stephenson,54,Head,Married,Female,Unemployed,None,Christian
214,Smith Estate,Ryan,Stephenson,55,Husband,Married,Male,Arboriculturist,None,Christian
214,Smith Estate,Jonathan,Stephenson,39,Son,Single,Male,Horticultural therapist,None,Christian
214,Smith Estate,Bradley,Stephenson,38,Son,Single,Male,"Surveyor, building control",None,Christian
214,Smith Estate,Joanne,Stephenson,38,Daughter,Single,Female,"Engineer, broadcasting (operations)",None,None
215,Smith Estate,Dawn,Jones,39,Head,Single,Female,"Therapist, horticultural",None,Christian
215,Smith Estate,Joe,Jones,11,Adopted Son,NA,Male,Student,None,NA
215,Smith Estate,Hugh,Jones,7,Son,NA,Male,Student,None,NA
216,Smith Estate,Gavin,Baker,25,Head,Single,Male,Unemployed,None,None
216,Smith Estate,Albert,Whittaker,35,Lodger,Single,Male,Social researcher,None,Christian
216,Smith Estate,James,Whitehouse,29,Lodger,Divorced,Male,Secretary/administrator,None,Christian
217,Smith Estate,Jessica,Ellis,47,Head,Married,Female,"Surveyor, mining",None,Christian
217,Smith Estate,Roger,Ellis,52,Husband,Married,Male,Psychiatric nurse,None,Christian
217,Smith Estate,Sylvia,Ellis,17,Daughter,NA,Female,Student,None,NA
218,Smith Estate,Cheryl,Perry,50,Head,Widowed,Female,Theatre manager,None,None
218,Smith Estate,Raymond,Brown-Perry,8,Son,NA,Male,Student,None,NA
218,Smith Estate,Maurice,Brown-Perry,5,Son,NA,Male,Student,None,NA
218,Smith Estate,Linda,Moore,18,Lodger,Single,Female,Student,None,NA
218,Smith Estate,Ellie,Gray,36,Lodger,Single,Female,Information officer,None,Methodist
219,Smith Estate,Joanne,Parker,51,Head,Married,Female,Counselling psychologist,None,Christian
219,Smith Estate,Keith,Parker,51,Husband,Married,Male,"Engineer, mining",None,None
219,Smith Estate,Sandra,Parker,22,Daughter,Single,Female,Maintenance engineer,None,Christian
219,Smith Estate,Damian,Parker,18,Son,Single,Male,Student,None,None
219,Smith Estate,Geraldine,Stephens,17,Daughter,NA,Female,Student,None,NA
220,Smith Estate,Russell,Perry,62,Head,Single,Male,Field trials officer,None,Christian
220,Smith Estate,Ashley,Cook,51,None,Single,Male,Best boy,None,Christian
221,Smith Estate,Claire,Bell,43,Head,Married,Female,Chartered management accountant,None,Catholic
221,Smith Estate,Stuart,Bell,44,Husband,Married,Male,"Copywriter, advertising",None,Catholic
221,Smith Estate,Rebecca,Bell,50,Cousin,Divorced,Female,"Designer, fashion/clothing",None,Catholic
222,Smith Estate,Maurice,Hughes,34,Head,Single,Male,Unemployed,None,Catholic
223,Smith Estate,Clifford,Bartlett,20,Head,Single,Male,University Student,None,NA
223,Smith Estate,Frank,Evans,18,None,Single,Male,University Student,None,None
224,Smith Estate,Trevor,Patel,41,Head,Single,Male,Unemployed,None,Christian
224,Smith Estate,Mandy,Patel,1,Daughter,NA,Female,Child,None,NA
224,Smith Estate,Leah,Rowe,25,Lodger,Single,Female,Land/geomatics surveyor,None,Christian
224,Smith Estate,Albert,Kay,46,Lodger,Single,Male,"Administrator, arts",None,Catholic
224,Smith Estate,Patrick,Jones,25,Lodger,Single,Male,"Scientist, marine",None,Catholic
225,Smith Estate,Sophie,Walker,57,Head,Divorced,Female,Statistician,None,None
225,Smith Estate,Albert,Walker,29,Son,Single,Male,Unemployed,None,None
225,Smith Estate,Carly,Walker,26,Daughter,Single,Female,"Scientist, product/process development",None,None
226,Smith Estate,Hannah,Scott,66,Head,Married,Female,Teaching laboratory technician,None,None
226,Smith Estate,Keith,Scott,67,Husband,Married,Male,Television camera operator,None,None
226,Smith Estate,Grace,Scott,40,Daughter,Single,Female,Fish farm manager,None,None
227,Smith Estate,Dylan,Hunt,21,Head,Single,Male,University Student,None,Christian
227,Smith Estate,Rebecca,Smith,20,None,Single,Female,University Student,None,None
227,Smith Estate,Anna,West,18,None,Single,Female,University Student,None,Muslim
227,Smith Estate,Kathleen,Smith,21,None,Single,Female,University Student,None,None
228,Smith Estate,Jemma,Hughes,28,Head,Single,Female,"Psychotherapist, child",None,Catholic
228,Smith Estate,Callum,Brown,57,Lodger,Single,Male,Lexicographer,None,Methodist
228,Smith Estate,Sally,Owen,22,Lodger,Single,Female,University Student,None,None
229,Smith Estate,Anne-Cecile,Johnston,32,Head,Married,Female,Architectural technologist,None,None
229,Smith Estate,Kevin,Johnston,36,Husband,Married,Male,Architect,None,None
229,Smith Estate,Zoe,Johnston,3,Daughter,NA,Female,Child,None,NA
230,Smith Estate,Julia,Edwards,72,Head,Married,Female,Retired Ambulance person,None,Christian
230,Smith Estate,Leigh,Edwards,74,Husband,Married,Male,Retired Cabin crew,None,None
230,Smith Estate,Bernard,Edwards,34,Son,Divorced,Male,"Engineer, production",None,Christian
230,Smith Estate,Dylan,Edwards,34,Son,Divorced,Male,Forest/woodland manager,None,Christian
230,Smith Estate,Kate,Edwards,30,Daughter,Divorced,Female,"Psychotherapist, child",None,Christian
231,Smith Estate,Ruth,Hall,35,Head,Married,Female,Petroleum engineer,None,Methodist
231,Smith Estate,Owen,Hall,37,Husband,Married,Male,"Buyer, industrial",None,Methodist
231,Smith Estate,Stuart,Hall,0,Son,NA,Male,Child,None,NA
232,Smith Estate,Gemma,Hughes,43,Head,Married,Female,Aeronautical engineer,None,None
232,Smith Estate,Bryan,Hughes,45,Husband,Married,Male,Bonds trader,None,None
232,Smith Estate,Terry,Hughes,12,Son,NA,Male,Student,None,NA
233,Smith Estate,Bethan,Evans-Murphy,46,Head,Divorced,Female,Unemployed,None,None
233,Smith Estate,Andrew,Evans-Murphy,15,Son,NA,Male,Student,None,NA
234,Smith Estate,Jemma,Lewis,29,Head,Married,Female,Mechanical engineer,None,Catholic
234,Smith Estate,Dale,Lewis,30,Husband,Married,Male,"Therapist, speech and language",None,None
234,Smith Estate,Nathan,Gill,52,Lodger,Single,Male,"Solicitor, Scotland",None,Methodist
235,Smith Estate,Kimberley,Marsh,19,Head,Divorced,Female,University Student,None,None
236,Smith Estate,Nicole,Allen,47,Head,Married,Female,Armed forces operational officer,None,None
236,Smith Estate,Denis,Allen,48,Husband,Married,Male,Web designer,None,None
236,Smith Estate,Stuart,Allen,16,Son,NA,Male,Student,None,NA
237,Smith Estate,Lynn,Berry,53,Head,Divorced,Female,Unemployed,None,Methodist
237,Smith Estate,Joanne,Berry,19,Daughter,Single,Female,University Student,None,Methodist
237,Smith Estate,Katy,Berry,17,Daughter,NA,Female,Student,None,NA
238,Smith Estate,Heather,Sinclair,23,Head,Single,Female,Social worker,None,None
238,Smith Estate,Reece,Sinclair,0,Son,NA,Male,Child,None,NA
238,Smith Estate,Jamie,Abbott,19,Lodger,Single,Male,University Student,None,None
239,Smith Estate,Jayne,Carroll,57,Head,Divorced,Female,Technical brewer,None,Methodist
239,Smith Estate,Derek,Carroll,24,Son,Single,Male,Human resources officer,None,Methodist
239,Smith Estate,Vincent,Carroll,20,Son,Single,Male,University Student,None,Methodist
239,Smith Estate,Harriet,Carroll,16,Daughter,NA,Female,Student,None,NA
239,Smith Estate,Kerry,Robertson,11,Daughter,NA,Female,Student,None,NA
1,Quayside Avenue,Jacqueline,Simpson,75,Head,Widowed,Female,Retired Nature conservation officer,None,Christian
2,Quayside Avenue,Alice,Taylor,33,Head,Single,Female,"Geneticist, molecular",None,Muslim
2,Quayside Avenue,Edward,Taylor,7,Son,NA,Male,Student,None,NA
3,Quayside Avenue,Amanda,Begum,66,Head,Widowed,Female,Tax inspector,None,Christian
4,Quayside Avenue,Vincent,Harvey,25,Head,Divorced,Male,Structural engineer,None,Christian
5,Quayside Avenue,Angela,Robinson,66,Head,Married,Female,Biomedical engineer,None,Christian
5,Quayside Avenue,Liam,Robinson,70,Husband,Married,Male,Retired English as a second language teacher,None,None
6,Quayside Avenue,Katie,Price,45,Head,Single,Female,Sales promotion account executive,None,None
6,Quayside Avenue,Anthony,Ward,46,Partner,Single,Male,"Designer, textile",None,None
7,Quayside Avenue,Helen,Marsden,58,Head,Single,Female,Exercise physiologist,None,Catholic
8,Quayside Avenue,Amy,Sims,66,Head,Married,Female,"Psychologist, prison and probation services",None,Methodist
8,Quayside Avenue,Benjamin,Sims,67,Husband,Married,Male,Fashion designer,None,Methodist
8,Quayside Avenue,Alexandra,Sims,24,Daughter,Divorced,Female,"Journalist, broadcasting",None,Methodist
8,Quayside Avenue,Mohammad,Sims,23,Son,Divorced,Male,Academic librarian,None,Methodist
8,Quayside Avenue,Kate,Sims,21,Daughter,Single,Female,University Student,None,Christian
9,Quayside Avenue,Joan,Andrews,70,Head,Widowed,Female,"Retired Engineer, materials",None,None
10,Quayside Avenue,Charlene,Shaw,50,Head,Single,Female,"Production designer, theatre/television/film",None,Catholic
10,Quayside Avenue,Karl,White,49,Partner,Single,Male,"Editor, film/video",None,Catholic
10,Quayside Avenue,Leanne,Shaw,17,Daughter,NA,Female,Student,None,NA
11,Quayside Avenue,Ann,Mitchell,68,Head,Divorced,Female,"Retired Journalist, newspaper",None,Christian
11,Quayside Avenue,Marie,Mitchell,44,Daughter,Single,Female,Phytotherapist,None,None
12,Quayside Avenue,Elizabeth,Moore-James,39,Head,Married,Female,Archaeologist,None,None
12,Quayside Avenue,Dale,Moore-James-Gilbert,41,Husband,Married,Male,"Research officer, trade union",None,None
12,Quayside Avenue,Joan,Moore-James-Gilbert,10,Daughter,NA,Female,Student,None,NA
12,Quayside Avenue,Joseph,Moore-James-Gilbert,7,Son,NA,Male,Student,None,NA
12,Quayside Avenue,Stephen,Moore-James-Gilbert,4,Son,NA,Male,Child,None,NA
13,Quayside Avenue,James,Atkinson,68,Head,Married,Male,Retired Gaffer,None,None
13,Quayside Avenue,Zoe,Atkinson,69,Wife,Married,Female,Retired Diagnostic radiographer,None,None
13,Quayside Avenue,Simon,Atkinson,13,Grandson,NA,Male,Student,None,NA
13,Quayside Avenue,Phillip,Richards-Atkinson,11,Grandson,NA,Male,Student,None,NA
14,Quayside Avenue,Sarah,Richardson,34,Head,Single,Female,"Surveyor, planning and development",None,None
14,Quayside Avenue,Shannon,Richardson,4,Daughter,NA,Female,Child,None,NA
14,Quayside Avenue,Ellie,Richardson,2,Daughter,NA,Female,Child,None,NA
14,Quayside Avenue,Daniel,Slater,52,Lodger,Divorced,Male,Manufacturing systems engineer,None,None
15,Quayside Avenue,Anthony,Clarke,43,Head,Divorced,Male,Unemployed,None,Orthodoxy
15,Quayside Avenue,Derek,Clarke,14,Son,NA,Male,Student,None,NA
16,Quayside Avenue,Maureen,Newman,51,Head,Married,Female,Dietitian,None,Christian
16,Quayside Avenue,Colin,Newman,51,Husband,Married,Male,Unemployed,None,None
17,Quayside Avenue,Edward,Lawrence,80,Head,Widowed,Male,"Retired Education officer, museum",None,None
18,Quayside Avenue,Lucy,Lee,61,Head,Single,Female,Advice worker,None,None
18,Quayside Avenue,Gerard,Bowen,67,Partner,Single,Male,"Surveyor, building control",None,None
19,Quayside Avenue,Glenn,Robinson, ,Head,Married,Male,Retired Television production assistant,None,None
19,Quayside Avenue,Susan,Robinson,73,Wife,Married,Female,Retired Immigration officer,None,None
20,Quayside Avenue,Anna,Wood,35,Head,Single,Female,Unemployed,None,None
20,Quayside Avenue,Jenna,Wood,3,Daughter,NA,Female,Child,None,NA
20,Quayside Avenue,Teresa,Wood,0,Daughter,NA,Female,Child,None,NA
21,Quayside Avenue,Lynn,Barnett,68,Head,Married,Female,"Retired Doctor, general practice",None,Methodist
21,Quayside Avenue,Elliot,Barnett,66,Husband,Married,Male,Speech and language therapist,None,Methodist
22,Quayside Avenue,Alex,Scott,62,Head,Married,Male,Furniture designer,None,Christian
22,Quayside Avenue,Marian,Scott,66,Wife,Married,Female,"Radiographer, diagnostic",None,Christian
23,Quayside Avenue,Kerry,Wood,33,Head,Married,Female,Recycling officer,None,Christian
23,Quayside Avenue,Jacob,Wood,35,Husband,Married,Male,Homeopath,None,Christian
23,Quayside Avenue,Heather,Wood,0,Daughter,NA,Female,Child,Disabled,NA
23,Quayside Avenue,Debra,Dixon,42,Lodger,Divorced,Female,"Accountant, chartered",None,None
23,Quayside Avenue,Kenneth,Manning,25,Lodger,Widowed,Male,Cytogeneticist,None,Christian
24,Quayside Avenue,Karl,Collins,29,Head,Single,Male,Multimedia programmer,None,Christian
25,Quayside Avenue,Chelsea,Stokes,57,Head,Married,Female,Media buyer,None,Christian
25,Quayside Avenue,Howard,Stokes,57,Husband,Married,Male,Unemployed,None,None
26,Quayside Avenue,Carol,Woods,48,Head,Married,Female,Recruitment consultant,Physical Disability,Christian
26,Quayside Avenue,David,Woods,52,Husband,Married,Male,Air traffic controller,None,Christian
26,Quayside Avenue,Zoe,Woods,25,Daughter,Single,Female,"Teacher, special educational needs",None,Christian
26,Quayside Avenue,Aimee,Woods,23,Daughter,Divorced,Female,"Lecturer, further education",None,Christian
26,Quayside Avenue,Stephanie,Woods,9,Daughter,NA,Female,Student,None,NA
27,Quayside Avenue,Philip,Mitchell,87,Head,Widowed,Male,Retired Osteopath,None,Christian
28,Quayside Avenue,Aimee,Jones,39,Head,Divorced,Female,Unemployed,None,None
28,Quayside Avenue,Martin,Jones,2,Son,NA,Male,Child,None,NA
28,Quayside Avenue,Stacey,Marsh,24,Lodger,Single,Female,Retail manager,None,Muslim
28,Quayside Avenue,Liam,Field,38,Lodger,Single,Male,Futures trader,None,Methodist
28,Quayside Avenue,Bruce,Shaw,55,Cousin,Divorced,Male,Clothing/textile technologist,None,Christian
29,Quayside Avenue,Kayleigh,Johnson,47,Head,Married,Female,Soil scientist,None,Methodist
29,Quayside Avenue,Edward,Johnson,47,Husband,Married,Male,Tax adviser,None,None
29,Quayside Avenue,Christopher,Johnson,15,Son,NA,Male,Student,None,NA
29,Quayside Avenue,Maria,Johnson,14,Daughter,NA,Female,Student,None,NA
29,Quayside Avenue,Abbie,Johnson,12,Daughter,NA,Female,Student,None,NA
29,Quayside Avenue,Rita,Johnson,10,Daughter,NA,Female,Student,None,NA
30,Quayside Avenue,Mandy,Fleming,41,Head,Married,Female,"Surveyor, mining",None,Christian
30,Quayside Avenue,Norman,Fleming,43,Husband,Married,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
30,Quayside Avenue,Stephanie,Fleming,8,Daughter,NA,Female,Student,None,NA
30,Quayside Avenue,Geoffrey,Fleming,7,Son,NA,Male,Student,None,NA
30,Quayside Avenue,Barry,Fleming,6,Son,NA,Male,Student,None,NA
31,Quayside Avenue,Olivia,Collier,70,Head,Widowed,Female,Retired Magazine features editor,None,Christian
31,Quayside Avenue,Helen,Collier,36,Daughter,Single,Female,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
31,Quayside Avenue,Tracey,Collier,33,Daughter,Single,Female,"Production assistant, radio",None,Christian
32,Quayside Avenue,Sally,Smith,33,Head,Divorced,Female,Chief Technology Officer,None,Catholic
32,Quayside Avenue,Denis,Smith,9,Son,NA,Male,Student,None,NA
32,Quayside Avenue,Charlie,Smith,9,Son,NA,Male,Student,None,NA
32,Quayside Avenue,Marian,Smith,9,Daughter,NA,Female,Student,None,NA
32,Quayside Avenue,Rhys,Smith,6,Son,NA,Male,Student,None,NA
33,Quayside Avenue,Alexandra,Barnes,47,Head,Single,Female,Actor,None,Catholic
34,Quayside Avenue,Benjamin,Jones,19,Head,Married,Male,University Student,None,None
34,Quayside Avenue,Vanessa,Jones,19,Wife,Married,Female,University Student,None,None
35,Quayside Avenue,Ricky,Barker,34,Head,Married,Male,Unemployed,None,Christian
35,Quayside Avenue,Debra,Barker,28,Wife,Married,Female,Landscape architect,None,None
36,Quayside Avenue,Amy,Fraser,25,Head,Single,Female,Veterinary surgeon,None,Methodist
36,Quayside Avenue,Chelsea,Byrne,64,None,Single,Female,Pension scheme manager,None,None
36,Quayside Avenue,Shane,Shaw,41,None,Single,Male,English as a foreign language teacher,None,Methodist
36,Quayside Avenue,Gregory,Lane,24,None,Single,Male,Publishing rights manager,None,None
37,Quayside Avenue,Kayleigh,Quinn,34,Head,Single,Female,"Doctor, hospital",None,Christian
37,Quayside Avenue,Timothy,Hughes,35,Partner,Single,Male,"Scientist, audiological",None,Christian
37,Quayside Avenue,Sarah,Quinn,9,Daughter,NA,Female,Student,None,NA
37,Quayside Avenue,Ashleigh,Roberts-Quinn,6,Daughter,NA,Female,Student,None,NA
38,Quayside Avenue,Stacey,Carr,89,Head,Widowed,Female,Retired Product/process development scientist,None,Christian
1,Westminster Road,Ashleigh,Knight,60,Head,Single,Female,Ecologist,None,Christian
1,Westminster Road,Wayne,Mills,32,None,Single,Male,"Scientist, research (medical)",None,None
2,Westminster Road,Julie,Hooper,66,Head,Married,Female,"Teacher, English as a foreign language",None,Christian
2,Westminster Road,Jason,Hooper,67,Husband,Married,Male,Unemployed,None,Christian
3,Westminster Road,Luke,Lyons,53,Head,Married,Male,Unemployed,None,None
3,Westminster Road,Brenda,Lyons,51,Wife,Married,Female,Futures trader,None,None
4,Westminster Road,Kate,Clarke,53,Head,Married,Female,Multimedia specialist,None,Catholic
4,Westminster Road,Ben,Clarke,50,Husband,Married,Male,Health visitor,None,Catholic
5,Westminster Road,Dorothy,Fletcher,71,Head,Married,Female,Retired Software engineer,None,Christian
5,Westminster Road,Garry,Fletcher,72,Husband,Married,Male,Retired Textile designer,None,Christian
6,Westminster Road,Victoria,Chapman,65,Head,Married,Female,Occupational therapist,None,None
6,Westminster Road,Adrian,Chapman,67,Husband,Married,Male,Unemployed,None,None
6,Westminster Road,Catherine,Chapman,40,Daughter,Single,Femal e,Consulting civil engineer,None,None
7,Westminster Road,Sean,Wilson,31,Head,Single,Male,Chartered management accountant,None,None
7,Westminster Road,Jodie,Wilson,2,Daughter,NA,Female,Child,None,NA
8,Westminster Road,Sarah,Johnson,26,Head,Married,Female,Broadcast journalist,None,Catholic
8,Westminster Road,Brandon,Johnson,27,Husband,Married,Male,Camera operator,None,Catholic
9,Westminster Road,Jane,Pearce,40,Head,Married,Female,Veterinary surgeon,None,Christian
9,Westminster Road,Oliver,Pearce,39,Husband,Married,Male,Unemployed,None,None
9,Westminster Road,Sam,Pearce,10,Son,NA,Male,Student,None,NA
10,Westminster Road,Hayley,Reed,30,Head,Married,Female,Actuary,None,Christian
10,Westminster Road,Shane,Reed,33,Husband,Married,Male,Chief Marketing Officer,None,Christian
10,Westminster Road,Georgia,Reed,13,Daughter,NA,Female,Student,None,NA
10,Westminster Road,Marion,Reed,10,Daughter,NA,Female,Student,None,NA
11,Westminster Road,Janet,Poole-Martin,39,Head,Married,Female,Advertising account planner,None,None
11,Westminster Road,Terence,Poole-Martin,44,Husband,Married,Male,Musician,None,None
11,Westminster Road,Ronald,Jones,42,Sibling,Single,Male,"Psychotherapist, dance movement",None,None
12,Westminster Road,Nigel,Cross,40,Head,Single,Male,Television camera operator,None,None
12,Westminster Road,Joe,Cross,12,Son,NA,Male,Student,None,NA
13,Westminster Road,Natasha,Simpson,33,Head,Single,Female,"Producer, television/film/video",None,None
14,Westminster Road,Charlotte,Hughes,45,Head,Divorced,Female,Proofreader,None,Catholic
14,Westminster Road,Sean,Scott,21,Lodger,Single,Male,University Student,None,None
14,Westminster Road,Anna,Wilson,56,Lodger,Single,Female,Photographer,None,Christian
14,Westminster Road,Shaun,Hanson,30,Lodger,Divorced,Male,Medical sales representative,None,None
14,Westminster Road,Shirley,Evans,20,Lodger,Divorced,Female,University Student,None,None
15,Westminster Road,Katherine,Jordan,28,Head,Married,Female,Mining engineer,None,None
15,Westminster Road,Nicholas,Jordan,31,Husband,Married,Male,Fisheries officer,None,None
15,Westminster Road,Ashley,Jordan,9,Son,NA,Male,Student,None,NA
1,Invernesscharm Avenue,Daniel,Cunningham,81,Head,Divorced,Male,Retired Dietitian,None,Methodist
1,Invernesscharm Avenue,Geoffrey,Cunningham,39,Son,Widowed,Male,"Designer, television/film set",None,Methodist
1,Invernesscharm Avenue,Frederick,Cunningham,37,Son,Single,Male,Ceramics designer,None,Methodist
1,Invernesscharm Avenue,Neil,Cunningham,30,Adopted Son,Single,Male,Photographer,None,None
1,Invernesscharm Avenue,Sean,Cunningham,27,Son,Single,Male,Database administrator,None,Methodist
1,Invernesscharm Avenue,Amy,Cunningham,23,Daughter,Single,Female,Financial planner,None,Methodist
1,Invernesscharm Avenue,Josh,Cunningham,20,Son,Single,Male,University Student,None,Methodist
1,Invernesscharm Avenue,Barbara,Cunningham,18,Daughter,Single,Female,Student,None,Methodist
1,Invernesscharm Avenue,Joyce,Cunningham,15,Daughter,NA,Female,Student,None,NA
1,Invernesscharm Avenue,Jayne,Cunningham,11,Daughter,NA,Female,Student,None,NA
1,Invernesscharm Avenue,Lisa,Cunningham,8,Daughter,NA,Female,Student,None,NA
1,Invernesscharm Avenue,Anne,Cunningham,6,Daughter,NA,Female,Student,None,NA
2,Invernesscharm Avenue,Adam,Barber,47,Head,Single,Male,Administrator,None,None
2,Invernesscharm Avenue,Diana,Baldwin,29,None,Single,Female,"Producer, radio",None,None
2,Invernesscharm Avenue,Marc,Bird,62,None,Single,Male,Psychiatric nurse,None,None
2,Invernesscharm Avenue,Terry,Norman,42,None,Single,Male,Technical brewer,None,Methodist
2,Invernesscharm Avenue,Mitchell,Pugh,21,None,Single,Male,University Student,None,Catholic
2,Invernesscharm Avenue,Trevor,Roberts,18,None,Single,Male,Student,None,NA
2,Invernesscharm Avenue,Damian,Nicholson,31,None,Single,Male,Microbiologist,None,Catholic
2,Invernesscharm Avenue,Philip,Harris,31,None,Single,Male,Dance movement psychotherapist,None,None
2,Invernesscharm Avenue,Victoria,Nixon,41,None,Single,Female,Homeopath,None,None
2,Invernesscharm Avenue,Kieran,Harris,28,None,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
3,Invernesscharm Avenue,Danielle,Hughes,48,Head,Married,Female,"Research officer, political party",None,Catholic
3,Invernesscharm Avenue,Mark,Hughes,49,Husband,Married,Male,"Surveyor, building",None,Catholic
3,Invernesscharm Avenue,Valerie,Hughes,23,Daughter,Single,Female,Architect,None,None
3,Invernesscharm Avenue,Chelsea,Hughes,7,Daughter,NA,Female,Student,None,NA
4,Invernesscharm Avenue,Clifford,Griffin,28,Head,Single,Male,Personnel officer,None,Methodist
4,Invernesscharm Avenue,Shirley,Dean,21,Partner,Single,Female,University Student,None,Methodist
4,Invernesscharm Avenue,Martin,Carter,51,Lodger,Single,Male,Sales promotion account executive,None,None
4,Invernesscharm Avenue,Wayne,Hill,47,Lodger,Divorced,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
4,Invernesscharm Avenue,Callum,Schofield,48,Lodger,Divorced,Male,Unemployed,None,Methodist
5,Invernesscharm Avenue, ,Miles,50,Head,Married,Female,Unemployed,None,Methodist
5,Invernesscharm Avenue,John,Miles,50,Husband,Married,Male,Health visitor,None,Methodist
5,Invernesscharm Avenue,Jayne,Miles,25,Daughter,Single,Female,Dispensing optician,None,None
5,Invernesscharm Avenue,Lindsey,Miles,21,Daughter,Single,Female,University Student,None,Methodist
5,Invernesscharm Avenue,Elliott,Miles,12,Son,NA,Male,Student,None,NA
6,Invernesscharm Avenue,Tony,Day,26,Head,Single,Male,Paramedic,None,Catholic
6,Invernesscharm Avenue,Megan,Collins,22,None,Single,Female,University Student,None,None
6,Invernesscharm Avenue,Gemma,Peacock,45,None,Single,Female,Toxicologist,None,Christian
6,Invernesscharm Avenue,Heather,Thomas,39,None,Divorced,Female,Unemployed,None,None
6,Invernesscharm Avenue,Darren,Roberts,35,None,Single,Male,"Engineer, electrical",None,None
6,Invernesscharm Avenue,Max,Smith,40,None,Single,Male,Multimedia programmer,None,Christian
7,Invernesscharm Avenue,Alice,Murray,46,Head,Divorced,Female,Unemployed,None,None
7,Invernesscharm Avenue,Molly,Murray,17,Daughter,NA,Female,Student,None,NA
7,Invernesscharm Avenue,Henry,Murray,17,Son,NA,Male,Student,None,NA
7,Invernesscharm Avenue,Pamela,Murray,16,Daughter,NA,Female,Student,None,NA
7,Invernesscharm Avenue,Rhys,Murray,12,Son,NA,Male,Student,None,NA
8,Invernesscharm Avenue,Tina,Ward,32,Head,Single,Female,Architect,None,Christian
8,Invernesscharm Avenue,Joe,Ali,34,Partner,Single,Male,Geophysical data processor,None,None
8,Invernesscharm Avenue,Samuel,Ward,11,Son,NA,Male,Student,None,NA
9,Invernesscharm Avenue,Jean,West,47,Head,Married,Female,Musician,None,None
9,Invernesscharm Avenue,Lee,Wilson,49,Husband,Married,Male,"Social research officer, government",None,None
9,Invernesscharm Avenue,Debra,West,15,Daughter,NA,Female,Student,None,NA
9,Invernesscharm Avenue,Aaron,West,14,Son,NA,Male,Student,None,NA
9,Invernesscharm Avenue,Ann,Cox,10,Daughter,NA,Female,Student,None,NA
10,Invernesscharm Avenue,Nicola,Conway,21,Head,Married,Female,University Student,None,None
10,Invernesscharm Avenue,Jamie,Russell,23,Husband,Married,Male,"Surveyor, commercial/residential",None,None
10,Invernesscharm Avenue,Mary,Hall,63,Lodger,Single,Female,Biomedical scientist,None,Methodist
10,Invernesscharm Avenue,Jane,Buckley,53,Lodger,Divorced,Female,Financial controller,None,None
